,Country_Region,Confirmed,Deaths,Recovered,Active,date
500,Kyrgyzstan,1433.0,16.0,992.0,425.0,05-25-2020
501,Tajikistan,3100.0,46.0,1395.0,1659.0,05-25-2020
502,Uzbekistan,3189.0,13.0,2607.0,569.0,05-25-2020
503,Armenia,7402.0,91.0,3220.0,4091.0,05-26-2020
504,Azerbaijan,4403.0,52.0,2819.0,1532.0,05-26-2020
505,Georgia,732.0,12.0,537.0,183.0,05-26-2020
506,Kazakhstan,8969.0,37.0,4613.0,4319.0,05-26-2020
507,Kyrgyzstan,1468.0,16.0,1015.0,437.0,05-26-2020
508,Tajikistan,3266.0,47.0,1417.0,1802.0,05-26-2020
509,Uzbekistan,3290.0,14.0,2636.0,640.0,05-26-2020
510,Armenia,7774.0,98.0,3255.0,4421.0,05-27-2020
511,Azerbaijan,4568.0,54.0,2897.0,1617.0,05-27-2020
512,Georgia,735.0,12.0,557.0,166.0,05-27-2020
513,Kazakhstan,9304.0,37.0,4768.0,4499.0,05-27-2020
514,Kyrgyzstan,1520.0,16.0,1043.0,461.0,05-27-2020
515,Tajikistan,3424.0,47.0,1575.0,1802.0,05-27-2020
516,Uzbekistan,3369.0,14.0,2668.0,687.0,05-27-2020
517,Armenia,8216.0,113.0,3287.0,4816.0,05-28-2020
518,Azerbaijan,4759.0,56.0,3022.0,1681.0,05-28-2020
519,Georgia,738.0,12.0,573.0,153.0,05-28-2020
520,Kazakhstan,9576.0,37.0,4900.0,4639.0,05-28-2020
521,Kyrgyzstan,1594.0,16.0,1066.0,512.0,05-28-2020
522,Tajikistan,3563.0,47.0,1674.0,1842.0,05-28-2020
523,Uzbekistan,3444.0,14.0,2694.0,736.0,05-28-2020
